index,Place_name,Address1,Reviewscount,Total_score,Latitude,Longitude,Category
179,Kathmandu Grill Restaurant,"Chaksibari Marg, Kathmandu 44600",1201,4.7,85.3098124,27.7162317,Restaurant
180,RUMI's Bistro,"RUMI's Bistro, Golfutar Main Rd, Budhanilkantha 44622",443,4.2,85.3488855,27.7392794,Restaurant
181,Square Garden Restro and Bar,"Kiran Bhawan Marg, Lalitpur 44600",78,4.7,27.6864307,85.3084356,Restaurant
182,Kunako Ghar,"M8P9+3QH, Lalitpur 44600",64,4.8,27.6852592,85.3195018,Restaurant
183,The Workshop Eatery,"Bakhundole, Lalitpur 44600",1220,4.3,27.6831846,85.3114245,Restaurant
184,The Yard Restro,"M8H4+P32, Lalitpur 44600",530,4.3,27.6792514,85.305154,Restaurant
185,"Roadhouse Cafe, Pulchowk",Lalitpur 44700,1973,4.3,27.6760813,85.3129951,Restaurant
186,El Mediterraneo,"M8H6+97Q, Lalitpur 44700",467,4.5,27.6784677,85.3107211,Restaurant
187,Cafe & Cucina,Lalitpur 44600,137,4.3,27.6783529,85.3131074,Restaurant
188,Weavers Inn,"Lagankhel-6, Lalitpur 44700",183,4.1,27.6667004,85.3250233,Restaurant
189,Blueberry Kitchen,"Paknajol Marg, Kathmandu 44600",1000,4.6,27.7126597,85.3089159,Restaurant
190,Revolution Cafe,"???? ???, Kathmandu 44600",508,4.1,27.7037579,85.3092563,Restaurant
191,Shree Subham Khaja Ghar And Bhojanalaya,"M8Q6+52W, Lalitpur 44600",13,4.4,27.6879969,85.3100832,Restaurant
192,Pizza World Kumaripati,"Lagankhel Satdobato Rd, Lalitpur 44600",1451,4.3,27.6713556,85.317945,Restaurant
193,Patko Kitchen,"Shahid Shukra Raj Sadak Paschim, Lalitpur 44600",256,4.7,27.6741176,85.3245699,Restaurant
194,Patan Heritage Home & Restaurant,"Mamaru Galli, Lalitpur 44600",131,4.9,27.6736465,85.3244119,Restaurant
195,"Bhojan Unlimited- The House of Maharaja Thali, Jawalakhel, Lalitpur","Top Floor of Prabhu Bank & Kathmandu Diabetes & Thyroid center, Jawa Bhawan, Lalitpur 44600",1548,4.8,27.6727947,85.3139895,Restaurant
196,Taza (Syrian Food),"City View Apartment, Bakhondole, Lalitpur",496,4.2,27.6834048,85.3119382,Restaurant
197,Mantra Thakali Restaurant,Lalitpur 44600,1557,4.2,27.6782927,85.3108718,Restaurant
198,Cibo Bistro Nepal,"Pulchowk Road Patan, Ward no. 3, 44600",118,4.3,27.6785202,85.3161464,Restaurant
199,Wok N Roll,"Manbhawan Rd, Lalitpur 44600",154,4.3,27.6707709,85.3160078,Restaurant
200,"Amigos Garden Restro,Cafe & Bar","United College Galli, Lalitpur 44600",323,4.1,27.670556,85.3191213,Restaurant
201,Shree Batuk Bhairavnath Temple,"M87F+QPH, Lalitpur 44700",373,4.6,27.6644434,85.3243474,Temple
202,Palah: Dya,"temple, NewRoad, beside, Kathmandu 44600",1030,4.6,27.7020825,85.311965,Temple
203,Shree Bagalamukhi Temple,"M8GG+G9V, Lalitpur 44600",1609,4.6,27.6763584,85.3259261,Temple
204,Krishna Mandir,"M8FF+CXG, Lalitpur 44700",8573,4.7,27.673565,85.3249533,Temple
205,Agnishaal,"Agnishal Road, Lalitpur 44700",94,4.5,27.6725803,85.3213356,Temple
206,Balkumari Temple,"M8CP+Q97, Lalitpur 44700",385,4.4,27.6719173,85.3359114,Temple
207,Shree Mahalaxmisthan Temple,"M869+VMH Mahalaxmi Temple, Lalitpur 44700",132,4.5,27.6627505,85.3190115,Temple
208,"Surya Binayak Temple, Lagankhel","44700, Lalitpur",3,4,27.6682012,85.3215794,Temple
209,Pancheshwor Shiva Temple,"M867+C76, Lalitpur 44700",56,4.3,27.6610329,85.3131526,Temple
210,"Ashok Stupa , South (Lagan:Thur) Lagankhel ???? ????? , ?????? (???:???) ??????","Ashok Stupa, Lalitpur 44700",88,4.4,27.6648909,85.3233144,Temple
211,Tudikhel,"P827+CXX, Kantipath Rd, Kathmandu 44600",3131,4.1,27.7011097,85.3149801,Temple
212,Ranibu Ganesh Temple,"Rani bu 14, Lalitpur 44700",80,4.2,27.6583137,85.3128576,Temple
213,Saraswati Temple,"M8CQ+93F, Lalitpur 44600",10,4.7,27.670948,85.3376862,Temple
214,Mahabodhi Temple,Lalitpur 44700,312,4.6,27.6689501,85.3271041,Temple
215,Hiranya Varna Mahavihar,"M8GF+3QG, Kwalakhu Rd, Lalitpur 44700",974,4.7,27.675192,85.324442,Temple
216,Bhimsen Mandir,"M8FG+G3F, Lalitpur 44600",67,4.6,27.6738055,85.3251816,Temple
217,Min nath,"M89F+XP9, Lalitpur 44600",69,4.3,27.6699166,85.3243669,Temple
218,Chyasin Dega,"M8FF+4WG, Lalitpur 44700",42,4.4,27.672804,85.3248416,Temple
219,Shree Hanuman Mandir,"M88F+6J2, Lalitpur 44700",14,4.7,27.665511,85.3240305,Temple
220,BhairavNath ???? ??????,"M8CF+W6X, Lalitpur 44600",6,3.8,27.6723574,85.3231099,Temple
,,,,,,,
